hyphen.case	hyphen
endash.case	endash
emdash.case	emdash
bullet.case	bullet
exclamdown.case	exclamdown
questiondown.case	questiondown
periodcentered.case	periodcentered
guilsinglleft.case	guilsinglleft
guilsinglright.case	guilsinglright
guillemotleft.case	guillemotleft
guillemotright.case	guillemotright
parenleft.case	parenleft
parenright.case	parenright
bracketleft.case	bracketleft
bracketright.case	bracketright
braceleft.case	braceleft
braceright.case	braceright
