germandbls.sc	germandbls
fi.sc	f.sc	i.sc
fl.sc	f.sc	l.sc
uniFB00.sc	f.sc	f.sc
uniFB03.sc	f.sc	f.sc	i.sc
uniFB04.sc	f.sc	f.sc	l.sc
longs.sc	s.sc
uni0237.sc	j.sc
