aacute	a	acute	top
abreve	a	breve	top
acircumflex	a	circumflex	top
adieresis	a	dieresis	top
aeacute	ae	acute	top
agrave	a	grave	top
amacron	a	macron	top
aogonek	a	ogonek	bottom
aring	a	ring	top
atilde	a	tilde	top
cacute	c	acute	top
ccaron	c	caron	top
ccedilla	c	cedilla	bottom
ccircumflex	c	circumflex	top
cdotaccent	c	dotaccent	top
eacute	e	acute	top
ebreve	e	breve	top
ecaron	e	caron	top
ecircumflex	e	circumflex	top
edieresis	e	dieresis	top
edotaccent	e	dotaccent	top
egrave	e	grave	top
emacron	e	macron	top
eogonek	e	ogonek	bottom
gbreve	g	breve	top
gcircumflex	g	circumflex	top
uni0123	g	uni0312	top
gdotaccent	g	dotaccent	top
hcircumflex	h	circumflex	top
iacute	dotlessi	acute	top
ibreve	dotlessi	breve	top
icircumflex	dotlessi	circumflex	top
idieresis	dotlessi	dieresis	top
igrave	dotlessi	grave	top
imacron	dotlessi	macron	top
iogonek	i	ogonek	bottom
itilde	dotlessi	tilde	top
jcircumflex	uni0237	circumflex	top
uni0137	k	uni0326	bottom
lacute	l	acute	top
uni013C	l	uni0326	bottom
nacute	n	acute	top
napostrophe	n	uni0313	top
ncaron	n	caron	top
uni0146	n	uni0326	bottom
ntilde	n	tilde	top
oacute	o	acute	top
obreve	o	breve	top
ocircumflex	o	circumflex	top
odieresis	o	dieresis	top
ograve	o	grave	top
ohungarumlaut	o	hungarumlaut	top
omacron	o	macron	top
oslashacute	oslash	acute	top
otilde	o	tilde	top
racute	r	acute	top
rcaron	r	caron	top
uni0157	r	uni0326	bottom
sacute	s	acute	top
scaron	s	caron	top
uni015F	s	cedilla	bottom
scircumflex	s	circumflex	top
uni0219	s	uni0326	bottom
uni0163	t	cedilla	bottom
uni021B	t	uni0326	bottom
uacute	u	acute	top
ubreve	u	breve	top
ucircumflex	u	circumflex	top
udieresis	u	dieresis	top
ugrave	u	grave	top
uhungarumlaut	u	hungarumlaut	top
umacron	u	macron	top
uogonek	u	ogonek	bottom
uring	u	ring	top
utilde	u	tilde	top
wacute	w	acute	top
wcircumflex	w	circumflex	top
wdieresis	w	dieresis	top
wgrave	w	grave	top
yacute	y	acute	top
ycircumflex	y	circumflex	top
ydieresis	y	dieresis	top
ygrave	y	grave	top
zacute	z	acute	top
zcaron	z	caron	top
zdotaccent	z	dotaccent	top
Aacute	A	acute	top
Abreve	A	breve	top
Acircumflex	A	circumflex	top
Adieresis	A	dieresis	top
AEacute	AE	acute	top
Agrave	A	grave	top
Amacron	A	macron	top
Aogonek	A	ogonek	bottom
Aring	A	ring	top
Atilde	A	tilde	top
Cacute	C	acute	top
Ccaron	C	caron	top
Ccedilla	C	cedilla	bottom
Ccircumflex	C	circumflex	top
Cdotaccent	C	dotaccent	top
Dcaron	D	caron	top
Eacute	E	acute	top
Ebreve	E	breve	top
Ecaron	E	caron	top
Ecircumflex	E	circumflex	top
Edieresis	E	dieresis	top
Edotaccent	E	dotaccent	top
Egrave	E	grave	top
Emacron	E	macron	top
Eogonek	E	ogonek	bottom
Gbreve	G	breve	top
Gcircumflex	G	circumflex	top
uni0122	G	uni0326	bottom
Gdotaccent	G	dotaccent	top
Hcircumflex	H	circumflex	top
Iacute	I	acute	top
Ibreve	I	breve	top
Icircumflex	I	circumflex	top
Idieresis	I	dieresis	top
Idotaccent	I	dotaccent	top
Igrave	I	grave	top
Imacron	I	macron	top
Iogonek	I	ogonek	bottom
Itilde	I	tilde	top
Jcircumflex	J	circumflex	top
uni0136	K	uni0326	bottom
Lacute	L	acute	top
uni013B	L	uni0326	bottom
Nacute	N	acute	top
Ncaron	N	caron	top
uni0145	N	uni0326	bottom
Ntilde	N	tilde	top
Oacute	O	acute	top
Obreve	O	breve	top
Ocircumflex	O	circumflex	top
Odieresis	O	dieresis	top
Ograve	O	grave	top
Ohungarumlaut	O	hungarumlaut	top
Omacron	O	macron	top
Oslashacute	Oslash	acute	top
Otilde	O	tilde	top
Racute	R	acute	top
Rcaron	R	caron	top
uni0156	R	uni0326	bottom
Sacute	S	acute	top
Scaron	S	caron	top
uni015E	S	cedilla	bottom
Scircumflex	S	circumflex	top
uni0218	S	uni0326	bottom
Tcaron	T	caron	top
uni0162	T	cedilla	bottom
uni021A	T	uni0326	bottom
Uacute	U	acute	top
Ubreve	U	breve	top
Ucircumflex	U	circumflex	top
Udieresis	U	dieresis	top
Ugrave	U	grave	top
Uhungarumlaut	U	hungarumlaut	top
Umacron	U	macron	top
Uogonek	U	ogonek	bottom
Uring	U	ring	top
Utilde	U	tilde	top
Wacute	W	acute	top
Wcircumflex	W	circumflex	top
Wdieresis	W	dieresis	top
Wgrave	W	grave	top
Yacute	Y	acute	top
Ycircumflex	Y	circumflex	top
Ydieresis	Y	dieresis	top
Ygrave	Y	grave	top
Zacute	Z	acute	top
Zcaron	Z	caron	top
Zdotaccent	Z	dotaccent	top
