uni2007	uni2007.tosf
zero	zero.tosf	zero.sc
one	one.tosf	one.sc
two	two.tosf	two.sc
three	three.tosf	three.sc
four	four.tosf	four.sc
five	five.tosf	five.sc
six	six.tosf	six.sc
seven	seven.tosf	seven.sc
eight	eight.tosf	eight.sc
nine	nine.tosf	nine.sc
zero.zero	zero.tosf.zero	zero.sc.zero
currency		currency.sc
dollar		dollar.sc
Euro		Euro.sc
yen		yen.sc
sterling		sterling.sc
florin		florin.sc
cent		cent.sc
