f_j	f	j
f_b	f	b
f_h	f	h
f_k	f	k
f_t	f	t
t_t	t	t
t_f	t	f
f_f_i	f	f	i
f_f_j	f	f	j
f_f_l	f	f	l
f_f_b	f	f	b
f_f_h	f	f	h
f_f_k	f	f	k
f_f_t	f	f	t
